Comunicacao_BN,Comunicacao_SEM,Coordenacao_BN,Coordenacao_SEM,Coesao_BN,Coesao_SEM,Orientacao_BN,Esforco_SEM,Aprendizagem_BN,Aprendizagem_SEM,Colaboracao_BN,Suporte_SEM,Auto_gerenciamento_BN
"0,84","3,88","0,84","4,08","0,65","3,9","0,68","3,33",,"4,08","0,69","4,66","0,66"
"0,88","3,9","0,79","3,75","0,66","4,1","0,73","3,65",,"3,95","0,71","4,82","0,68"
"0,71","3,95","0,75","3,77","0,65","3,95","0,7","3,47","0,71","4,11","0,67","4,62","0,71"
"0,88","3,82","0,85","3,81","0,6","4,15","0,6","3,81","0,9","4,68","0,64","4,85","0,62"
"0,88","3,76","0,74","3,5","0,66","3,96","0,78","3,75","0,83",5,"0,71","4,8","0,68"
"0,79","3,76","0,73","3,66","0,68","3,66","0,71","3,16","0,83","4,16","0,69","4,33","0,73"
"0,76","3,73","0,72","3,41","0,64","3,73","0,66","3,41","0,76","4,41","0,65","4,52","0,69"
"0,82","4,16","0,79","3,95","0,67","3,98","0,7","3,85","0,78","4,3","0,69","4,77","0,71"
"0,82","3,52","0,76","3,31","0,56","3,75","0,6","3,28","0,624",4,"0,6","4,37","0,58"
"0,82","3,88","0,69","3,55","0,58","3,95","0,63","3,8","0,67","4,16","0,61","4,76","0,61"
"0,83","3,76","0,67","3,95","0,56","3,86","0,61","3,5","0,76","4,66","0,58","4,59","0,6"
"0,86","3,74","0,81","4,07","0,74","3,84","0,77","3,75","0,87","4,71","0,75","4,83","0,78"
"0,83","3,68","0,75","3,61","0,57","3,77","0,58","3,38","0,81","4,25","0,59","4,73","0,61"
"0,62","3,61","0,65","3,68","0,52","3,67","0,54","3,5","0,75","4,18","0,53","4,69","0,58"
"0,85",4,"0,75","3,97","0,6","3,88","0,63","3,66","0,74","4,63","0,65","4,85","0,61"
"0,83","3,9","0,8","3,68","0,7","4,1","0,79","3,5","0,77","4,12","0,75","4,69","0,71"
"0,85","4,15","0,81","3,82","0,68","4,15","0,7","3,7","0,86","4,08","0,71","4,64","0,7"
"0,88","3,67","0,74","3,62","0,7","3,92","0,8","3,87","0,7","3,8","0,72","4,67","0,75"
"0,79","3,58","0,7","3,45","0,56","3,71","0,61","3,33","0,6","4,08","0,59","4,21","0,59"
"0,79","3,8","0,68","3,75","0,66","3,85","0,76","3,79","0,7","4,54","0,66","4,35","0,71"
"0,88","3,97","0,78","4,06","0,62","3,85","0,65","3,43","0,55","4,12","0,65","4,5","0,64"
"0,82","3,87","0,77","3,78","0,69","4,1","0,74","3,84","0,82","4,56","0,71","4,51","0,73"
"0,88","3,95","0,81","3,87","0,66","3,85","0,69","3,61","0,8","4,29","0,69","4,8","0,68"
"0,86","3,91","0,77","3,84","0,68","4,13","0,71","3,81","0,82","4,71","0,7","4,75","0,72"
"0,85","3,97","0,75","3,8","0,56","3,85","0,57","3,77","0,78","4,17","0,58","4,6","0,6"
